序号,模块名称,模块类型,供电类型（有源/无源）,线制,通道位号,位号,场站名,变量名称（HMI）,变量描述,数据类型,读写属性,保存历史,掉电保护,量程低限,量程高限,SLL设定值,SLL设定点位,SLL设定点位_PLC地址,SLL设定点位_通讯地址,SL设定值,SL设定点位,SL设定点位_PLC地址,SL设定点位_通讯地址,SH设定值,SH设定点位,SH设定点位_PLC地址,SH设定点位_通讯地址,SHH设定值,SHH设定点位,SHH设定点位_PLC地址,SHH设定点位_通讯地址,LL报警,LL报警_PLC地址,LL报警_通讯地址,L报警,L报警_PLC地址,L报警_通讯地址,H报警,H报警_PLC地址,H报警_通讯地址,HH报警,HH报警_PLC地址,HH报警_通讯地址,维护值设定,维护值设定点位,维护值设定点位_PLC地址,维护值设定点位_通讯地址,维护使能开关点位,维护使能开关点位_PLC地址,维护使能开关点位_通讯地址,PLC绝对地址,上位机通讯地址
1,8通道模拟量输入模块,AI,有源,二线制,1_2_AI_0,PT_2101,樟洋电厂,PT_2101,计量撬进口压力,REAL,R/W,是,是,0,4,0.5,PT_2101_LoLoLimit,%MD500,43251,1,PT_2101_LoLimit,%MD504,43253,3,PT_2101_HiLimit,%MD508,43255,3.5,PT_2101_HiHiLimit,%MD512,43257,PT_2101_LL,%MX100.0,3801,PT_2101_L,%MX100.1,3802,PT_2101_H,%MX100.2,3803,PT_2101_HH,%MX100.3,3804,/,PT_2101_whz,%MD516,43259,PT_2101_MAIN_EN,%MX100.4,3805,%MD100,40001
2,8通道模拟量输入模块,AI,有源,二线制,1_2_AI_1,PT_2102,樟洋电厂,PT_2102,计量撬出口压力,REAL,R/W,是,是,0,2,0.2,PT_2102_LoLoLimit,%MD520,43261,0.5,PT_2102_LoLimit,%MD524,43263,1.5,PT_2102_HiLimit,%MD528,43265,1.8,PT_2102_HiHiLimit,%MD532,43267,PT_2102_LL,%MX100.5,3806,PT_2102_L,%MX100.6,3807,PT_2102_H,%MX100.7,3808,PT_2102_HH,%MX101.0,3809,/,PT_2102_whz,%MD536,43269,PT_2102_MAIN_EN,%MX101.1,3810,%MD104,40003
3,8通道模拟量输入模块,AI,有源,二线制,1_2_AI_2,TT_4101,樟洋电厂,TT_4101,计量撬进口温度,REAL,R/W,是,是,-40,80,-10,TT_4101_LoLoLimit,%MD540,43271,10,TT_4101_LoLimit,%MD544,43273,40,TT_4101_HiLimit,%MD548,43275,60,TT_4101_HiHiLimit,%MD552,43277,TT_4101_LL,%MX101.2,3811,TT_4101_L,%MX101.3,3812,TT_4101_H,%MX101.4,3813,TT_4101_HH,%MX101.5,3814,/,TT_4101_whz,%MD556,43279,TT_4101_MAIN_EN,%MX101.6,3815,%MD108,40005
4,8通道模拟量输入模块,AI,有源,二线制,1_2_AI_3,TT_4102,樟洋电厂,TT_4102,计量撬出口温度,REAL,R/W,是,是,-40,80,-20,TT_4102_LoLoLimit,%MD560,43281,0,TT_4102_LoLimit,%MD564,43283,50,TT_4102_HiLimit,%MD568,43285,70,TT_4102_HiHiLimit,%MD572,43287,TT_4102_LL,%MX101.7,3816,TT_4102_L,%MX102.0,3817,TT_4102_H,%MX102.1,3818,TT_4102_HH,%MX102.2,3819,/,TT_4102_whz,%MD576,43289,TT_4102_MAIN_EN,%MX102.3,3820,%MD112,40007
5,8通道模拟量输入模块,AI,有源,,1_2_AI_4,YLDW1_2_AI_4,樟洋电厂,YLDW1_2_AI_4,,REAL,R/W,是,是,,,,YLDW1_2_AI_4_LoLoLimit,%MD580,43291,,YLDW1_2_AI_4_LoLimit,%MD584,43293,,YLDW1_2_AI_4_HiLimit,%MD588,43295,,YLDW1_2_AI_4_HiHiLimit,%MD592,43297,YLDW1_2_AI_4_LL,%MX102.4,3821,YLDW1_2_AI_4_L,%MX102.5,3822,YLDW1_2_AI_4_H,%MX102.6,3823,YLDW1_2_AI_4_HH,%MX102.7,3824,/,YLDW1_2_AI_4_whz,%MD596,43299,YLDW1_2_AI_4_MAIN_EN,%MX103.0,3825,%MD116,40009
6,8通道模拟量输入模块,AI,有源,,1_2_AI_5,YLDW1_2_AI_5,樟洋电厂,YLDW1_2_AI_5,,REAL,R/W,是,是,,,,YLDW1_2_AI_5_LoLoLimit,%MD600,43301,,YLDW1_2_AI_5_LoLimit,%MD604,43303,,YLDW1_2_AI_5_HiLimit,%MD608,43305,,YLDW1_2_AI_5_HiHiLimit,%MD612,43307,YLDW1_2_AI_5_LL,%MX103.1,3826,YLDW1_2_AI_5_L,%MX103.2,3827,YLDW1_2_AI_5_H,%MX103.3,3828,YLDW1_2_AI_5_HH,%MX103.4,3829,/,YLDW1_2_AI_5_whz,%MD616,43309,YLDW1_2_AI_5_MAIN_EN,%MX103.5,3830,%MD120,40011
7,8通道模拟量输入模块,AI,有源,,1_2_AI_6,YLDW1_2_AI_6,樟洋电厂,YLDW1_2_AI_6,,REAL,R/W,是,是,,,,YLDW1_2_AI_6_LoLoLimit,%MD620,43311,,YLDW1_2_AI_6_LoLimit,%MD624,43313,,YLDW1_2_AI_6_HiLimit,%MD628,43315,,YLDW1_2_AI_6_HiHiLimit,%MD632,43317,YLDW1_2_AI_6_LL,%MX103.6,3831,YLDW1_2_AI_6_L,%MX103.7,3832,YLDW1_2_AI_6_H,%MX104.0,3833,YLDW1_2_AI_6_HH,%MX104.1,3834,/,YLDW1_2_AI_6_whz,%MD636,43319,YLDW1_2_AI_6_MAIN_EN,%MX104.2,3835,%MD124,40013
8,8通道模拟量输入模块,AI,有源,,1_2_AI_7,YLDW1_2_AI_7,樟洋电厂,YLDW1_2_AI_7,,REAL,R/W,是,是,,,,YLDW1_2_AI_7_LoLoLimit,%MD640,43321,,YLDW1_2_AI_7_LoLimit,%MD644,43323,,YLDW1_2_AI_7_HiLimit,%MD648,43325,,YLDW1_2_AI_7_HiHiLimit,%MD652,43327,YLDW1_2_AI_7_LL,%MX104.3,3836,YLDW1_2_AI_7_L,%MX104.4,3837,YLDW1_2_AI_7_H,%MX104.5,3838,YLDW1_2_AI_7_HH,%MX104.6,3839,/,YLDW1_2_AI_7_whz,%MD656,43329,YLDW1_2_AI_7_MAIN_EN,%MX104.7,3840,%MD128,40015
9,8通道模拟量输入模块,AI,有源,二线制,1_3_AI_0,FCV_7101_AI,樟洋电厂,FCV_7101_AI,计量撬出口气动阀阀位,REAL,R/W,是,是,0,100,,FCV_7101_AI_LoLoLimit,%MD660,43331,,FCV_7101_AI_LoLimit,%MD664,43333,,FCV_7101_AI_HiLimit,%MD668,43335,50,FCV_7101_AI_HiHiLimit,%MD672,43337,FCV_7101_AI_LL,%MX105.0,3841,FCV_7101_AI_L,%MX105.1,3842,FCV_7101_AI_H,%MX105.2,3843,FCV_7101_AI_HH,%MX105.3,3844,/,FCV_7101_AI_whz,%MD676,43339,FCV_7101_AI_MAIN_EN,%MX105.4,3845,%MD132,40017
10,8通道模拟量输入模块,AI,有源,二线制,1_3_AI_1,FIQ_5701,樟洋电厂,FIQ_5701,A路流量信号,REAL,R/W,是,是,0,10000,,FIQ_5701_LoLoLimit,%MD680,43341,,FIQ_5701_LoLimit,%MD684,43343,,FIQ_5701_HiLimit,%MD688,43345,5000,FIQ_5701_HiHiLimit,%MD692,43347,FIQ_5701_LL,%MX105.5,3846,FIQ_5701_L,%MX105.6,3847,FIQ_5701_H,%MX105.7,3848,FIQ_5701_HH,%MX106.0,3849,/,FIQ_5701_whz,%MD696,43349,FIQ_5701_MAIN_EN,%MX106.1,3850,%MD136,40019
