序号,模块名称,模块类型,供电类型（有源/无源）,线制,通道位号,场站名,场站编号,变量名称（HMI）,变量描述,数据类型,单位,保存历史,掉电保护,量程低限,量程高限,SLL设定值,SLL设定点位,SLL设定点位_PLC地址,SLL设定点位_通讯地址,SL设定值,SL设定点位,SL设定点位_PLC地址,SL设定点位_通讯地址,SH设定值,SH设定点位,SH设定点位_PLC地址,SH设定点位_通讯地址,SHH设定值,SHH设定点位,SHH设定点位_PLC地址,SHH设定点位_通讯地址,LL报警,LL报警_PLC地址,LL报警_通讯地址,L报警,L报警_PLC地址,L报警_通讯地址,H报警,H报警_PLC地址,H报警_通讯地址,HH报警,HH报警_PLC地址,HH报警_通讯地址,维护值设定,维护值设定点位,维护值设定点位_PLC地址,维护值设定点位_通讯地址,维护使能开关点位,维护使能开关点位_PLC地址,维护使能开关点位_通讯地址,PLC绝对地址,上位机通讯地址
1,LK411S,AI,无源,两线制,1_1_AI_0,路口铺门站,A110907,PT_1101,进站放空压力检测,REAL,MPa,是,是,0,6,,PT_1101_LoLoLimit,%MD324,43163,,PT_1101_LoLimit,%MD328,43165,,PT_1101_HiLimit,%MD332,43167,,PT_1101_HiHiLimit,%MD336,43169,PT_1101_LL,%MX20.0,3161,PT_1101_L,%MX20.1,3162,PT_1101_H,%MX20.2,3163,PT_1101_HH,%MX20.3,3164,,PT_1101_whz,%MD340,43171,PT_1101_whzzt,%MX20.4,3165,%MD320,43161
2,LK411S,AI,无源,两线制,1_1_AI_1,路口铺门站,A110907,PT_1102,进站压力检测,REAL,MPa,是,是,0,6,,PT_1102_LoLoLimit,%MD348,43175,,PT_1102_LoLimit,%MD352,43177,,PT_1102_HiLimit,%MD356,43179,,PT_1102_HiHiLimit,%MD360,43181,PT_1102_LL,%MX20.5,3166,PT_1102_L,%MX20.6,3167,PT_1102_H,%MX20.7,3168,PT_1102_HH,%MX21.0,3169,,PT_1102_whz,%MD364,43183,PT_1102_whzzt,%MX21.1,3170,%MD344,43173
3,LK411S,AI,无源,两线制,1_1_AI_2,路口铺门站,A110907,PT_1201,出站压力检测,REAL,MPa,是,是,0,6,,PT_1201_LoLoLimit,%MD372,43187,,PT_1201_LoLimit,%MD376,43189,,PT_1201_HiLimit,%MD380,43191,,PT_1201_HiHiLimit,%MD384,43193,PT_1201_LL,%MX21.2,3171,PT_1201_L,%MX21.3,3172,PT_1201_H,%MX21.4,3173,PT_1201_HH,%MX21.5,3174,,PT_1201_whz,%MD388,43195,PT_1201_whzzt,%MX21.6,3175,%MD368,43185
4,LK411S,AI,无源,两线制,1_1_AI_3,路口铺门站,A110907,PT_1202,出站放空压力检测,REAL,MPa,是,是,0,6,,PT_1202_LoLoLimit,%MD396,43199,,PT_1202_LoLimit,%MD400,43201,,PT_1202_HiLimit,%MD404,43203,,PT_1202_HiHiLimit,%MD408,43205,PT_1202_LL,%MX21.7,3176,PT_1202_L,%MX22.0,3177,PT_1202_H,%MX22.1,3178,PT_1202_HH,%MX22.2,3179,,PT_1202_whz,%MD412,43207,PT_1202_whzzt,%MX22.3,3180,%MD392,43197
5,LK411S,AI,无源,两线制,1_1_AI_4,路口铺门站,A110907,YLDW1_1_AI_4,1_1_AI_4预留点位,REAL,,是,是,,,,YLDW1_1_AI_4_LoLoLimit,%MD420,43211,,YLDW1_1_AI_4_LoLimit,%MD424,43213,,YLDW1_1_AI_4_HiLimit,%MD428,43215,,YLDW1_1_AI_4_HiHiLimit,%MD432,43217,YLDW1_1_AI_4_LL,%MX22.4,3181,YLDW1_1_AI_4_L,%MX22.5,3182,YLDW1_1_AI_4_H,%MX22.6,3183,YLDW1_1_AI_4_HH,%MX22.7,3184,,YLDW1_1_AI_4_whz,%MD436,43219,YLDW1_1_AI_4_whzzt,%MX23.0,3185,%MD416,43209
6,LK411S,AI,无源,两线制,1_1_AI_5,路口铺门站,A110907,YLDW1_1_AI_5,1_1_AI_5预留点位,REAL,,是,是,,,,YLDW1_1_AI_5_LoLoLimit,%MD444,43223,,YLDW1_1_AI_5_LoLimit,%MD448,43225,,YLDW1_1_AI_5_HiLimit,%MD452,43227,,YLDW1_1_AI_5_HiHiLimit,%MD456,43229,YLDW1_1_AI_5_LL,%MX23.1,3186,YLDW1_1_AI_5_L,%MX23.2,3187,YLDW1_1_AI_5_H,%MX23.3,3188,YLDW1_1_AI_5_HH,%MX23.4,3189,,YLDW1_1_AI_5_whz,%MD460,43231,YLDW1_1_AI_5_whzzt,%MX23.5,3190,%MD440,43221
7,LK411S,AI,无源,两线制,1_1_AI_6,路口铺门站,A110907,YLDW1_1_AI_6,1_1_AI_6预留点位,REAL,,是,是,,,,YLDW1_1_AI_6_LoLoLimit,%MD468,43235,,YLDW1_1_AI_6_LoLimit,%MD472,43237,,YLDW1_1_AI_6_HiLimit,%MD476,43239,,YLDW1_1_AI_6_HiHiLimit,%MD480,43241,YLDW1_1_AI_6_LL,%MX23.6,3191,YLDW1_1_AI_6_L,%MX23.7,3192,YLDW1_1_AI_6_H,%MX24.0,3193,YLDW1_1_AI_6_HH,%MX24.1,3194,,YLDW1_1_AI_6_whz,%MD484,43243,YLDW1_1_AI_6_whzzt,%MX24.2,3195,%MD464,43233
8,LK411S,AI,无源,两线制,1_1_AI_7,路口铺门站,A110907,YLDW1_1_AI_7,1_1_AI_7预留点位,REAL,,是,是,,,,YLDW1_1_AI_7_LoLoLimit,%MD492,43247,,YLDW1_1_AI_7_LoLimit,%MD496,43249,,YLDW1_1_AI_7_HiLimit,%MD500,43251,,YLDW1_1_AI_7_HiHiLimit,%MD504,43253,YLDW1_1_AI_7_LL,%MX24.3,3196,YLDW1_1_AI_7_L,%MX24.4,3197,YLDW1_1_AI_7_H,%MX24.5,3198,YLDW1_1_AI_7_HH,%MX24.6,3199,,YLDW1_1_AI_7_whz,%MD508,43255,YLDW1_1_AI_7_whzzt,%MX24.7,3200,%MD488,43245
9,LK630S,DI,无源,常开,1_2_DI_0,路口铺门站,A110907,ZSL_4201,B套安全切断阀关到位检测,BOOL,,是,是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%MX25.0,3201
10,LK630S,DI,无源,常开,1_2_DI_1,路口铺门站,A110907,HS_9001,站场一级关断按钮(大门),BOOL,,是,是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%MX25.1,3202
11,LK630S,DI,无源,常开,1_2_DI_2,路口铺门站,A110907,HS_9002,站场一级关断按钮(逃生门),BOOL,,是,是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%MX25.2,3203
12,LK630S,DI,无源,常开,1_2_DI_3,路口铺门站,A110907,HS_9003,站场一级关断按钮(工艺区),BOOL,,是,是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%MX25.3,3204
13,LK630S,DI,无源,常开,1_2_DI_4,路口铺门站,A110907,HS_9004,站场一级关断按钮(橇装机柜间),BOOL,,是,是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%MX25.4,3205
14,LK630S,DI,无源,常开,1_2_DI_5,路口铺门站,A110907,YLDW1_2_DI_5,1_2_DI_5预留点位,BOOL,,是,是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%MX25.5,3206
15,LK630S,DI,无源,常开,1_2_DI_6,路口铺门站,A110907,YLDW1_2_DI_6,1_2_DI_6预留点位,BOOL,,是,是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%MX25.6,3207
16,LK630S,DI,无源,常开,1_2_DI_7,路口铺门站,A110907,YLDW1_2_DI_7,1_2_DI_7预留点位,BOOL,,是,是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%MX25.7,3208
17,LK710S,DO,无源,常开,1_3_DO_0,路口铺门站,A110907,EXO_1105,进站放空电动阀ESD开阀,BOOL,,是,是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%MX26.0,3209
18,LK710S,DO,无源,常开,1_3_DO_1,路口铺门站,A110907,YLDW1_3_DO_1,1_3_DO_1预留点位,BOOL,,是,是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%MX26.1,3210
19,LK710S,DO,无源,常开,1_3_DO_2,路口铺门站,A110907,YLDW1_3_DO_2,1_3_DO_2预留点位,BOOL,,是,是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%MX26.2,3211
20,LK710S,DO,有源,常开,1_3_DO_3,路口铺门站,A110907,EXC_1101,进站紧急切断阀ESD关,BOOL,,是,是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%MX26.3,3212
21,LK710S,DO,有源,常开,1_3_DO_4,路口铺门站,A110907,EXC_1201,出站紧急切断阀ESD关,BOOL,,是,是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%MX26.4,3213
22,LK710S,DO,有源,常开,1_3_DO_5,路口铺门站,A110907,EXC_6101,A套安全切断阀ESD关,BOOL,,是,是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%MX26.5,3214
23,LK710S,DO,有源,常开,1_3_DO_6,路口铺门站,A110907,EXC_6201,B套安全切断阀ESD关,BOOL,,是,是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%MX26.6,3215
24,LK710S,DO,有源,常开,1_3_DO_7,路口铺门站,A110907,YLDW1_3_DO_7,1_3_DO_7预留点位,BOOL,,是,是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%MX26.7,3216
25,LK710S,DO,有源,常开,1_4_DO_0,路口铺门站,A110907,AA_9001,声光报警(大门),BOOL,,是,是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%MX27.0,3217
26,LK710S,DO,有源,常开,1_4_DO_1,路口铺门站,A110907,AA_9002,声光报警((逃生门),BOOL,,是,是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%MX27.1,3218
27,LK710S,DO,有源,常开,1_4_DO_2,路口铺门站,A110907,AA_9003,声光报警(工艺区),BOOL,,是,是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%MX27.2,3219
28,LK710S,DO,有源,常开,1_4_DO_3,路口铺门站,A110907,AA_9004,声光报警(橇装机柜间),BOOL,,是,是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%MX27.3,3220
29,LK710S,DO,有源,常开,1_4_DO_4,路口铺门站,A110907,HS_9201,非消防电源切断信号,BOOL,,是,是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%MX27.4,3221
30,LK710S,DO,有源,常开,1_4_DO_5,路口铺门站,A110907,YLDW1_4_DO_5,1_4_DO_5预留点位,BOOL,,是,是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%MX27.5,3222
31,LK710S,DO,有源,常开,1_4_DO_6,路口铺门站,A110907,YLDW1_4_DO_6,1_4_DO_6预留点位,BOOL,,是,是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%MX27.6,3223
32,LK710S,DO,有源,常开,1_4_DO_7,路口铺门站,A110907,YLDW1_4_DO_7,1_4_DO_7预留点位,BOOL,,是,是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%MX27.7,3224
33,LK411,AI,无源,两线制,2_1_AI_0,路口铺门站,A110907,TT_1101,进站温度检测,REAL,℃,是,是,-20,80,,TT_1101_LoLoLimit,%MD516,43259,,TT_1101_LoLimit,%MD520,43261,,TT_1101_HiLimit,%MD524,43263,,TT_1101_HiHiLimit,%MD528,43265,TT_1101_LL,%MX28.0,3225,TT_1101_L,%MX28.1,3226,TT_1101_H,%MX28.2,3227,TT_1101_HH,%MX28.3,3228,,TT_1101_whz,%MD532,43267,TT_1101_whzzt,%MX28.4,3229,%MD512,43257
34,LK411,AI,无源,两线制,2_1_AI_1,路口铺门站,A110907,TT_1201,出站温度检测,REAL,℃,是,是,-20,80,,TT_1201_LoLoLimit,%MD540,43271,,TT_1201_LoLimit,%MD544,43273,,TT_1201_HiLimit,%MD548,43275,,TT_1201_HiHiLimit,%MD552,43277,TT_1201_LL,%MX28.5,3230,TT_1201_L,%MX28.6,3231,TT_1201_H,%MX28.7,3232,TT_1201_HH,%MX29.0,3233,,TT_1201_whz,%MD556,43279,TT_1201_whzzt,%MX29.1,3234,%MD536,43269
35,LK411,AI,无源,两线制,2_1_AI_2,路口铺门站,A110907,PT_1203,出站放空压力检测,REAL,MPa,是,是,0,6,,PT_1203_LoLoLimit,%MD564,43283,,PT_1203_LoLimit,%MD568,43285,,PT_1203_HiLimit,%MD572,43287,,PT_1203_HiHiLimit,%MD576,43289,PT_1203_LL,%MX29.2,3235,PT_1203_L,%MX29.3,3236,PT_1203_H,%MX29.4,3237,PT_1203_HH,%MX29.5,3238,,PT_1203_whz,%MD580,43291,PT_1203_whzzt,%MX29.6,3239,%MD560,43281
36,LK411,AI,无源,两线制,2_1_AI_3,路口铺门站,A110907,PT_6101,A套调压橇后压力检测,REAL,MPa,是,是,0,6,,PT_6101_LoLoLimit,%MD588,43295,,PT_6101_LoLimit,%MD592,43297,,PT_6101_HiLimit,%MD596,43299,,PT_6101_HiHiLimit,%MD600,43301,PT_6101_LL,%MX29.7,3240,PT_6101_L,%MX30.0,3241,PT_6101_H,%MX30.1,3242,PT_6101_HH,%MX30.2,3243,,PT_6101_whz,%MD604,43303,PT_6101_whzzt,%MX30.3,3244,%MD584,43293
37,LK411,AI,无源,两线制,2_1_AI_4,路口铺门站,A110907,PT_6201,B套调压橇后压力检测,REAL,MPa,是,是,0,6,,PT_6201_LoLoLimit,%MD612,43307,,PT_6201_LoLimit,%MD616,43309,,PT_6201_HiLimit,%MD620,43311,,PT_6201_HiHiLimit,%MD624,43313,PT_6201_LL,%MX30.4,3245,PT_6201_L,%MX30.5,3246,PT_6201_H,%MX30.6,3247,PT_6201_HH,%MX30.7,3248,,PT_6201_whz,%MD628,43315,PT_6201_whzzt,%MX31.0,3249,%MD608,43305
